economy,period,lsci_value
Northern Mariana Islands,2010Q04,13.79487
Norway,2010Q04,56.21038
Oman,2010Q04,125.87368
Pakistan,2010Q04,138.0594
Palau,2010Q04,11.84028
Panama,2010Q04,159.6292
Papua New Guinea,2010Q04,30.33635
Paraguay,2010Q04,4.9833300000000005
Peru,2010Q04,105.0598
Philippines,2010Q04,134.51783
Poland,2010Q04,75.70845
Portugal,2010Q04,144.69654
Puerto Rico,2010Q04,55.63045
Qatar,2010Q04,32.89277
Republic of Korea,2010Q04,509.75532
Reunion,2010Q04,47.58977
Romania,2010Q04,49.50636
Russian Federation,2010Q04,161.03826
Saint Kitts and Nevis,2010Q04,18.10612
Saint Lucia,2010Q04,25.79714
Saint Vincent and the Grenadines,2010Q04,17.11761
Samoa,2010Q04,22.54917
Sao Tome and Principe,2010Q04,14.79443
Saudi Arabia,2010Q04,205.38812
Senegal,2010Q04,54.82142
Serbia and Montenegro,2010Q04,
Seychelles,2010Q04,23.99688
Sierra Leone,2010Q04,14.3356
Singapore,2010Q04,578.8304
Sint Maarten (Dutch part),2010Q04,
Slovenia,2010Q04,57.94986
Solomon Islands,2010Q04,20.3386
Somalia,2010Q04,15.95594
South Africa,2010Q04,156.54753
Spain,2010Q04,379.83207
Sri Lanka,2010Q04,175.13182
Sudan,2010Q04,
Sudan (...2011),2010Q04,32.76204
Suriname,2010Q04,36.86344
Sweden,2010Q04,120.88452
Syrian Arab Republic,2010Q04,55.98311
Thailand,2010Q04,207.5769
Timor-Leste,2010Q04,7.79294
Togo,2010Q04,56.06669
Tonga,2010Q04,19.30387
Trinidad and Tobago,2010Q04,86.59916
Tunisia,2010Q04,55.10833
Turkiye,2010Q04,180.53214
Tuvalu,2010Q04,6.75672
Ukraine,2010Q04,59.23938
United Arab Emirates,2010Q04,291.68382
United Kingdom,2010Q04,417.4239
United Republic of Tanzania,2010Q04,53.10238
United States,2010Q04,480.67671
United States Virgin Islands,2010Q04,19.16635
Uruguay,2010Q04,87.42062
Vanuatu,2010Q04,13.78043
Venezuela (Bolivarian Rep. of),2010Q04,93.23633
Viet Nam,2010Q04,226.89928
Wallis and Futuna Islands,2010Q04,7.44087
Yemen,2010Q04,44.70342
Albania,2011Q01,10.20791
Algeria,2011Q01,60.94776
American Samoa,2011Q01,19.98397
Angola,2011Q01,73.4394
Antigua and Barbuda,2011Q01,22.99148
Argentina,2011Q01,112.29558
Aruba,2011Q01,38.92519
Australia,2011Q01,157.96154
Bahamas,2011Q01,69.8875
Bahrain,2011Q01,49.31935
Bangladesh,2011Q01,44.08032
Barbados,2011Q01,39.21453
Belgium,2011Q01,423.306
Belize,2011Q01,14.48372
Benin,2011Q01,52.75637
Bermuda,2011Q01,7.78925
"Bonaire, Sint Eustatius and Saba",2011Q01,9.13931
Brazil,2011Q01,146.44906
British Virgin Islands,2011Q01,11.6594
Brunei Darussalam,2011Q01,25.8007
Bulgaria,2011Q01,21.98623
Cabo Verde,2011Q01,18.06671
Cambodia,2011Q01,19.72668
Cameroon,2011Q01,71.31655
Canada,2011Q01,151.16679
Cayman Islands,2011Q01,7.24719
Chile,2011Q01,101.61905
China,2011Q01,897.68076
"China, Hong Kong SAR",2011Q01,577.34927
"China, Taiwan Province of",2011Q01,331.40743
Colombia,2011Q01,162.2515
Comoros,2011Q01,21.13024
Congo,2011Q01,52.53482
Cook Islands,2011Q01,6.75677
Costa Rica,2011Q01,102.2909
Cote d'Ivoire,2011Q01,93.6616
Croatia,2011Q01,51.48035
Cuba,2011Q01,31.06019
Curacao,2011Q01,31.49841
Cyprus,2011Q01,64.42802
Dem. People's Rep. of Korea,2011Q01,3.35155
Dem. Rep. of the Congo,2011Q01,24.70604
Denmark,2011Q01,88.11624
Djibouti,2011Q01,57.21546
Dominica,2011Q01,19.97927
Dominican Republic,2011Q01,116.11377
Ecuador,2011Q01,104.06738
Egypt,2011Q01,234.5039
El Salvador,2011Q01,30.50189
Equatorial Guinea,2011Q01,31.08553
Estonia,2011Q01,35.74064
Falkland Islands (Malvinas),2011Q01,4.27932
Faroe Islands,2011Q01,15.44691
Fiji,2011Q01,43.18726
Finland,2011Q01,82.38163
France,2011Q01,284.27578
French Guiana,2011Q01,15.42959
French Polynesia,2011Q01,36.43757
Gabon,2011Q01,32.92837
Gambia,2011Q01,22.68529
Georgia,2011Q01,24.25636
Germany,2011Q01,415.98027
Ghana,2011Q01,97.58116
Gibraltar,2011Q01,7.00359
Greece,2011Q01,106.52608
Grenada,2011Q01,20.28997
Guadeloupe,2011Q01,36.7953
Guam,2011Q01,23.77759
Guatemala,2011Q01,80.98929
Guernsey,2011Q01,7.06555
Guinea,2011Q01,36.39141
Guinea-Bissau,2011Q01,14.17753
Guyana,2011Q01,45.59179
Haiti,2011Q01,38.56875
Honduras,2011Q01,59.14984
Iceland,2011Q01,16.33393
India,2011Q01,250.50662
Indonesia,2011Q01,240.15992
Iran (Islamic Republic of),2011Q01,125.32194
Iraq,2011Q01,25.93838
Ireland,2011Q01,48.97018
Israel,2011Q01,105.62564
Italy,2011Q01,305.11488
Jamaica,2011Q01,90.57224
Japan,2011Q01,469.7171
Jersey,2011Q01,7.06555
Jordan,2011Q01,67.06502
Kenya,2011Q01,67.9432
Kiribati,2011Q01,10.47791
Kuwait,2011Q01,38.72147
Latvia,2011Q01,31.41725
Lebanon,2011Q01,82.774
Liberia,2011Q01,15.51584
Libya,2011Q01,45.11286
Lithuania,2011Q01,40.19759
Madagascar,2011Q01,31.51883
Malaysia,2011Q01,467.46603
Maldives,2011Q01,19.93373
Malta,2011Q01,119.8162
Marshall Islands,2011Q01,10.47791
Martinique,2011Q01,35.76164
Mauritania,2011Q01,28.4961
Mauritius,2011Q01,53.89723
Mayotte,2011Q01,27.62793
Mexico,2011Q01,162.51242
Micronesia (Federated States of),2011Q01,6.12742
Montenegro,2011Q01,9.0735
Morocco,2011Q01,187.32898
Mozambique,2011Q01,56.95166
Myanmar,2011Q01,18.43254
Namibia,2011Q01,46.01385
Nauru,2011Q01,4.2240400000000005
Netherlands (Kingdom of the),2011Q01,435.48562
Netherlands Antilles,2011Q01,
New Caledonia,2011Q01,48.24319
New Zealand,2011Q01,82.51141
Nicaragua,2011Q01,30.89579
Nigeria,2011Q01,102.31698
Niue,2011Q01,4.27479
Norfolk Island,2011Q01,2.6154
Northern Mariana Islands,2011Q01,13.80285
Norway,2011Q01,58.40687
Oman,2011Q01,129.67702
Pakistan,2011Q01,145.33592
Palau,2011Q01,11.84826
Panama,2011Q01,163.89522
Papua New Guinea,2011Q01,31.13122
Paraguay,2011Q01,4.9833300000000005
Peru,2011Q01,107.68545
Philippines,2011Q01,137.22706
Poland,2011Q01,74.12209
Portugal,2011Q01,147.53015
Puerto Rico,2011Q01,55.41508
Qatar,2011Q01,35.50472
Republic of Korea,2011Q01,513.72625
Reunion,2011Q01,52.675110000000004
Romania,2011Q01,50.45088
Russian Federation,2011Q01,161.72906
Saint Kitts and Nevis,2011Q01,17.43084
Saint Lucia,2011Q01,21.31441
Saint Vincent and the Grenadines,2011Q01,20.68118
Samoa,2011Q01,22.46594
Sao Tome and Principe,2011Q01,14.5579
Saudi Arabia,2011Q01,210.45064
Senegal,2011Q01,57.12516
Serbia and Montenegro,2011Q01,
Seychelles,2011Q01,23.99822
Sierra Leone,2011Q01,15.51584
Singapore,2011Q01,576.33388
Sint Maarten (Dutch part),2011Q01,31.5025
Slovenia,2011Q01,60.0742
Solomon Islands,2011Q01,20.37277
Somalia,2011Q01,15.95594
South Africa,2011Q01,162.14961
Spain,2011Q01,381.00927
Sri Lanka,2011Q01,179.8151
Sudan,2011Q01,
Sudan (...2011),2011Q01,33.29845
Suriname,2011Q01,38.68908
Sweden,2011Q01,126.27811
Syrian Arab Republic,2011Q01,56.70476
Thailand,2011Q01,202.45467
Timor-Leste,2011Q01,7.79294
Togo,2011Q01,63.2375
Tonga,2011Q01,19.30387
Trinidad and Tobago,2011Q01,88.65554
Tunisia,2011Q01,54.65125
Turkiye,2011Q01,186.7438
Tuvalu,2011Q01,6.75672
Ukraine,2011Q01,60.55012
United Arab Emirates,2011Q01,299.15019
United Kingdom,2011Q01,433.18298
United Republic of Tanzania,2011Q01,59.56991
United States,2011Q01,484.1146
United States Virgin Islands,2011Q01,19.16635
Uruguay,2011Q01,88.83838
Vanuatu,2011Q01,13.78043
Venezuela (Bolivarian Rep. of),2011Q01,85.32817
Viet Nam,2011Q01,241.78362
Wallis and Futuna Islands,2011Q01,7.44087
Yemen,2011Q01,44.47764
Albania,2011Q02,14.41835
Algeria,2011Q02,62.95872
American Samoa,2011Q02,21.96576
Angola,2011Q02,73.40986
Antigua and Barbuda,2011Q02,22.99148
Argentina,2011Q02,113.3047
Aruba,2011Q02,38.24002
Australia,2011Q02,156.64631
Bahamas,2011Q02,70.0713
Bahrain,2011Q02,45.63884
Bangladesh,2011Q02,40.44597
Barbados,2011Q02,37.13016
Belgium,2011Q02,417.64108
Belize,2011Q02,14.48372
Benin,2011Q02,52.23809
Bermuda,2011Q02,7.78925
"Bonaire, Sint Eustatius and Saba",2011Q02,9.13931
Brazil,2011Q02,153.37813
British Virgin Islands,2011Q02,11.6594
Brunei Darussalam,2011Q02,25.97975
Bulgaria,2011Q02,21.98623
Cabo Verde,2011Q02,19.15488
Cambodia,2011Q02,19.72758
Cameroon,2011Q02,66.98358
Canada,2011Q02,157.27465
Cayman Islands,2011Q02,7.24719
Chile,2011Q02,96.44736
China,2011Q02,926.62115
"China, Hong Kong SAR",2011Q02,581.71389
"China, Taiwan Province of",2011Q02,343.90163
Colombia,2011Q02,160.6996
Comoros,2011Q02,20.66856
Congo,2011Q02,59.19358
Cook Islands,2011Q02,6.75677
Costa Rica,2011Q02,92.82023
Cote d'Ivoire,2011Q02,87.13609
Croatia,2011Q02,51.24926
Cuba,2011Q02,27.24908
Curacao,2011Q02,30.76884
Cyprus,2011Q02,64.31529
Dem. People's Rep. of Korea,2011Q02,3.35155
Dem. Rep. of the Congo,2011Q02,24.874200000000002
Denmark,2011Q02,96.16119
Djibouti,2011Q02,54.7953
Dominica,2011Q02,19.97927
Dominican Republic,2011Q02,113.56429
Ecuador,2011Q02,105.37967
Egypt,2011Q02,231.67065
El Salvador,2011Q02,19.35397
Equatorial Guinea,2011Q02,31.15265
Estonia,2011Q02,29.65822
Faroe Islands,2011Q02,14.44362
Fiji,2011Q02,47.3529
Finland,2011Q02,85.16366
France,2011Q02,282.00924
French Guiana,2011Q02,15.42959
French Polynesia,2011Q02,37.31589
Gabon,2011Q02,34.755
Gambia,2011Q02,21.64632
Georgia,2011Q02,23.58457
Germany,2011Q02,438.7197
Ghana,2011Q02,94.09361
Gibraltar,2011Q02,13.2021
Greece,2011Q02,111.68466
Grenada,2011Q02,20.28997
Guadeloupe,2011Q02,36.7953
Guam,2011Q02,25.56125
Guatemala,2011Q02,84.73845
Guernsey,2011Q02,7.06555
Guinea,2011Q02,36.42379
Guinea-Bissau,2011Q02,19.45435
Guyana,2011Q02,44.20664
Haiti,2011Q02,34.69639
Honduras,2011Q02,58.09771
Iceland,2011Q02,15.33064
India,2011Q02,263.53588
Indonesia,2011Q02,237.66491
Iran (Islamic Republic of),2011Q02,119.00519
Iraq,2011Q02,24.28556
Ireland,2011Q02,47.30592
Israel,2011Q02,104.66141
Italy,2011Q02,301.9853
Jamaica,2011Q02,94.33011
Japan,2011Q02,472.39292
Jersey,2011Q02,7.06555
Jordan,2011Q02,69.72778
Kenya,2011Q02,67.18464
Kiribati,2011Q02,11.7238
Kuwait,2011Q02,42.69406
Latvia,2011Q02,28.01754
Lebanon,2011Q02,85.65254
Liberia,2011Q02,15.03084
Libya,2011Q02,33.61079
Lithuania,2011Q02,39.65555
Madagascar,2011Q02,33.3912
Malaysia,2011Q02,502.73019
Maldives,2011Q02,21.62624
Malta,2011Q02,118.42123
Marshall Islands,2011Q02,11.7238
Martinique,2011Q02,35.76256
Mauritania,2011Q02,27.3768
Mauritius,2011Q02,54.99956
Mayotte,2011Q02,25.26111
Mexico,2011Q02,162.52643
Micronesia (Federated States of),2011Q02,5.33005
Montenegro,2011Q02,13.28394
Morocco,2011Q02,194.26651
Mozambique,2011Q02,53.08265
Myanmar,2011Q02,25.60262
Namibia,2011Q02,46.49782
Nauru,2011Q02,4.2240400000000005
Netherlands (Kingdom of the),2011Q02,435.87477
Netherlands Antilles,2011Q02,
New Caledonia,2011Q02,47.86514
New Zealand,2011Q02,82.1078
Nicaragua,2011Q02,18.44931
Nigeria,2011Q02,95.2609
Niue,2011Q02,4.27479
Norfolk Island,2011Q02,2.6154
Northern Mariana Islands,2011Q02,15.58651
Norway,2011Q02,66.40031
Oman,2011Q02,118.58842
Pakistan,2011Q02,141.92789
Palau,2011Q02,8.5834
Panama,2011Q02,166.1173
Papua New Guinea,2011Q02,31.20703
Paraguay,2011Q02,4.98036
Peru,2011Q02,110.78364
Philippines,2011Q02,140.1364
Poland,2011Q02,83.36713
Portugal,2011Q02,157.40165
Puerto Rico,2011Q02,51.54863
Qatar,2011Q02,37.31362
Republic of Korea,2011Q02,530.35392
Reunion,2011Q02,47.82265
Romania,2011Q02,50.44413
Russian Federation,2011Q02,161.92342
Saint Kitts and Nevis,2011Q02,17.43084
Saint Lucia,2011Q02,21.35126
Saint Vincent and the Grenadines,2011Q02,20.68118
Samoa,2011Q02,24.44774
Sao Tome and Principe,2011Q02,18.48001
Saudi Arabia,2011Q02,209.46854
Senegal,2011Q02,55.49054
Serbia and Montenegro,2011Q02,
Seychelles,2011Q02,19.58433
Sierra Leone,2011Q02,15.03084
Singapore,2011Q02,585.69993
Sint Maarten (Dutch part),2011Q02,33.69046
Slovenia,2011Q02,59.83404
Solomon Islands,2011Q02,26.83994
Somalia,2011Q02,15.95594
South Africa,2011Q02,156.38134
Spain,2011Q02,366.54966
Sri Lanka,2011Q02,182.47848
Sudan,2011Q02,
Sudan (...2011),2011Q02,34.68341
Suriname,2011Q02,37.30393
Sweden,2011Q02,123.75107
Syrian Arab Republic,2011Q02,55.43107
Thailand,2011Q02,201.95016
Timor-Leste,2011Q02,7.78558
Togo,2011Q02,60.28867
Tonga,2011Q02,20.54976
Trinidad and Tobago,2011Q02,89.19637
Tunisia,2011Q02,55.91586
Turkiye,2011Q02,187.68449
Tuvalu,2011Q02,6.75672
Ukraine,2011Q02,64.87169
United Arab Emirates,2011Q02,294.0089
United Kingdom,2011Q02,421.6807
United Republic of Tanzania,2011Q02,58.81243
United States,2011Q02,493.95961
United States Virgin Islands,2011Q02,19.16635
Uruguay,2011Q02,87.82218
Vanuatu,2011Q02,22.27994
Venezuela (Bolivarian Rep. of),2011Q02,82.21797
Viet Nam,2011Q02,245.6178
Wallis and Futuna Islands,2011Q02,6.75672
Yemen,2011Q02,44.52509
Albania,2011Q03,12.91445
Algeria,2011Q03,57.92759
American Samoa,2011Q03,19.54005
Angola,2011Q03,69.7255
Antigua and Barbuda,2011Q03,22.99148
Argentina,2011Q03,104.0024
Aruba,2011Q03,37.09207
Australia,2011Q03,157.76361
Bahamas,2011Q03,63.42038
Bahrain,2011Q03,43.58042
Bangladesh,2011Q03,39.90117
Barbados,2011Q03,31.49924
Belgium,2011Q03,413.37545
Belize,2011Q03,14.48372
Benin,2011Q03,55.21613
Bermuda,2011Q03,7.78925
Brazil,2011Q03,157.97803
British Virgin Islands,2011Q03,11.6594
Brunei Darussalam,2011Q03,26.20141
Bulgaria,2011Q03,18.47319
Cabo Verde,2011Q03,19.15488
Cambodia,2011Q03,19.65609
Cameroon,2011Q03,65.59998
Canada,2011Q03,153.93473
Cayman Islands,2011Q03,7.24719
Chile,2011Q03,95.84775
China,2011Q03,910.59569
"China, Hong Kong SAR",2011Q03,570.51983
"China, Taiwan Province of",2011Q03,335.14185
Colombia,2011Q03,160.89886
Comoros,2011Q03,20.66856
Congo,2011Q03,58.24026
Cook Islands,2011Q03,6.75677
Costa Rica,2011Q03,90.28226
Cote d'Ivoire,2011Q03,82.76913
Croatia,2011Q03,45.5971
Cuba,2011Q03,33.69859
Curacao,2011Q03,30.77587
Cyprus,2011Q03,61.69935
Dem. People's Rep. of Korea,2011Q03,3.35155
Dem. Rep. of the Congo,2011Q03,25.23457
Denmark,2011Q03,99.38874
Djibouti,2011Q03,53.68262
Dominica,2011Q03,19.97927
Dominican Republic,2011Q03,117.08881
Ecuador,2011Q03,101.23954
Egypt,2011Q03,231.30202
El Salvador,2011Q03,21.36689
Equatorial Guinea,2011Q03,31.1538
Estonia,2011Q03,30.98492
Faroe Islands,2011Q03,14.44362
Fiji,2011Q03,48.60447
Finland,2011Q03,88.5342
France,2011Q03,274.83279
French Guiana,2011Q03,15.44173
French Polynesia,2011Q03,36.66776
Gabon,2011Q03,41.10951
Gambia,2011Q03,19.40292
Georgia,2011Q03,21.80858
Germany,2011Q03,426.67941
Ghana,2011Q03,93.81927
Gibraltar,2011Q03,13.2021
Greece,2011Q03,109.35254
Grenada,2011Q03,20.28997
Guadeloupe,2011Q03,36.79144
Guam,2011Q03,23.61697
Guatemala,2011Q03,84.45417
Guernsey,2011Q03,7.06555
Guinea,2011Q03,34.52811
Guinea-Bissau,2011Q03,14.58826
Guyana,2011Q03,38.36879
Haiti,2011Q03,34.69639
Honduras,2011Q03,57.7685
Iceland,2011Q03,14.81716
India,2011Q03,265.61402
Indonesia,2011Q03,237.40033
Iran (Islamic Republic of),2011Q03,112.77021
Iraq,2011Q03,26.06899
Ireland,2011Q03,47.88622
Israel,2011Q03,93.6653
Italy,2011Q03,302.47315
Jamaica,2011Q03,96.36232
Japan,2011Q03,461.44004
Jersey,2011Q03,7.06555
Jordan,2011Q03,69.2642
Kenya,2011Q03,62.81307
Kiribati,2011Q03,11.7238
Kuwait,2011Q03,40.3067
Latvia,2011Q03,29.4866
Lebanon,2011Q03,91.597
Liberia,2011Q03,13.20048
Libya,2011Q03,29.91614
Lithuania,2011Q03,40.30221
Madagascar,2011Q03,31.75991
Malaysia,2011Q03,502.14267
Maldives,2011Q03,20.81606
Malta,2011Q03,121.13846
Marshall Islands,2011Q03,11.7238
Martinique,2011Q03,31.44692
Mauritania,2011Q03,26.26679
Mauritius,2011Q03,53.66753
Mayotte,2011Q03,25.93219
Mexico,2011Q03,155.93075
Micronesia (Federated States of),2011Q03,5.33005
Montenegro,2011Q03,10.19029
Morocco,2011Q03,183.21755
Mozambique,2011Q03,51.74387
Myanmar,2011Q03,29.017
Namibia,2011Q03,45.49798
Nauru,2011Q03,4.2240400000000005
Netherlands (Kingdom of the),2011Q03,418.85224
Netherlands Antilles,2011Q03,
New Caledonia,2011Q03,47.84031
New Zealand,2011Q03,85.45583
Nicaragua,2011Q03,20.46222
Nigeria,2011Q03,89.69207
Niue,2011Q03,4.27479
Norfolk Island,2011Q03,2.6154
Northern Mariana Islands,2011Q03,13.64223
Norway,2011Q03,59.52626
Oman,2011Q03,123.51625
Pakistan,2011Q03,128.75426
Palau,2011Q03,8.59371
Panama,2011Q03,168.42054
Papua New Guinea,2011Q03,32.07683
Paraguay,2011Q03,4.98036
Peru,2011Q03,108.40155
Philippines,2011Q03,141.37064
Poland,2011Q03,85.3905
Portugal,2011Q03,156.80066
Puerto Rico,2011Q03,51.06488
Qatar,2011Q03,35.96006
Republic of Korea,2011Q03,528.61387
Reunion,2011Q03,46.71392
Romania,2011Q03,49.68042
Russian Federation,2011Q03,174.73919
Saint Kitts and Nevis,2011Q03,17.43084
Saint Lucia,2011Q03,21.5542
Saint Vincent and the Grenadines,2011Q03,20.68118
Samoa,2011Q03,22.02202
Sao Tome and Principe,2011Q03,18.48001
Saudi Arabia,2011Q03,214.95827
Senegal,2011Q03,57.41317
Serbia and Montenegro,2011Q03,
Seychelles,2011Q03,17.85932
Sierra Leone,2011Q03,13.20048
Singapore,2011Q03,578.8535
Sint Maarten (Dutch part),2011Q03,33.23209
Slovenia,2011Q03,60.38169
Solomon Islands,2011Q03,26.42866
Somalia,2011Q03,16.10887
South Africa,2011Q03,147.86549
Spain,2011Q03,382.11956
Sri Lanka,2011Q03,178.67993
Sudan,2011Q03,
Sudan (...2011),2011Q03,32.88117
Suriname,2011Q03,31.46608
Sweden,2011Q03,120.34972
Syrian Arab Republic,2011Q03,55.16167
Thailand,2011Q03,198.5477
Timor-Leste,2011Q03,7.78558
Togo,2011Q03,55.32794
Tonga,2011Q03,19.62336
Trinidad and Tobago,2011Q03,81.31639
Tunisia,2011Q03,55.71246
Turkiye,2011Q03,192.86589
Tuvalu,2011Q03,6.75672
Ukraine,2011Q03,64.18322
United Arab Emirates,2011Q03,297.43509
United Kingdom,2011Q03,409.93505
United Republic of Tanzania,2011Q03,59.63872
United States,2011Q03,491.72094
United States Virgin Islands,2011Q03,19.16635
Uruguay,2011Q03,89.27666
Vanuatu,2011Q03,22.27994
Venezuela (Bolivarian Rep. of),2011Q03,81.96191
Viet Nam,2011Q03,242.822
Wallis and Futuna Islands,2011Q03,6.75672
Yemen,2011Q03,42.23347
Albania,2011Q04,12.31015
Algeria,2011Q04,58.75514
American Samoa,2011Q04,19.54005
Angola,2011Q04,69.38627
Anguilla,2011Q04,10.3151
Antigua and Barbuda,2011Q04,22.99148
Argentina,2011Q04,106.93528
Aruba,2011Q04,29.53152
Australia,2011Q04,150.75361
Bahamas,2011Q04,67.63741
Bahrain,2011Q04,45.12983
Bangladesh,2011Q04,39.12522
Barbados,2011Q04,32.17482
Belgium,2011Q04,411.6691
Belize,2011Q04,15.49277
Benin,2011Q04,55.58104
Bermuda,2011Q04,7.78925
Brazil,2011Q04,154.01236
British Virgin Islands,2011Q04,11.72357
Brunei Darussalam,2011Q04,25.17789
Bulgaria,2011Q04,22.34386
Cabo Verde,2011Q04,19.17897
Cambodia,2011Q04,19.65609
Cameroon,2011Q04,72.08311
Canada,2011Q04,143.80759
Cayman Islands,2011Q04,11.60604
Chile,2011Q04,99.4191
China,2011Q04,902.55886
"China, Hong Kong SAR",2011Q04,557.83854
"China, Taiwan Province of",2011Q04,328.11449
Colombia,2011Q04,155.38932
Comoros,2011Q04,20.66856
Congo,2011Q04,57.05846
Cook Islands,2011Q04,6.75677
Costa Rica,2011Q04,90.38061
Cote d'Ivoire,2011Q04,85.44674
Croatia,2011Q04,45.57288
Cuba,2011Q04,33.69919
Curacao,2011Q04,36.31551
Cyprus,2011Q04,57.34501
Dem. People's Rep. of Korea,2011Q04,3.35155
Dem. Rep. of the Congo,2011Q04,25.15015
Denmark,2011Q04,95.77018
Djibouti,2011Q04,52.64152
Dominica,2011Q04,19.97511
Dominican Republic,2011Q04,114.82475
Ecuador,2011Q04,98.45192
Egypt,2011Q04,218.32115
El Salvador,2011Q04,27.35109
Equatorial Guinea,2011Q04,31.60713
Estonia,2011Q04,33.1053
Faroe Islands,2011Q04,14.44362
Fiji,2011Q04,48.3937
Finland,2011Q04,89.00379
France,2011Q04,265.22199
French Guiana,2011Q04,15.44173
French Polynesia,2011Q04,38.59142
Gabon,2011Q04,42.09372
Gambia,2011Q04,20.66739
Georgia,2011Q04,24.10083
Germany,2011Q04,418.4669
Ghana,2011Q04,87.23612
Gibraltar,2011Q04,7.89777
Greece,2011Q04,110.95608
Grenada,2011Q04,21.65408
Guadeloupe,2011Q04,39.23091
Guam,2011Q04,21.06542
Guatemala,2011Q04,77.77585
Guernsey,2011Q04,7.06555
Guinea,2011Q04,31.48413
Guinea-Bissau,2011Q04,14.61235
Guyana,2011Q04,37.25965
Haiti,2011Q04,32.37707
Honduras,2011Q04,61.73499
Iceland,2011Q04,15.4946
India,2011Q04,260.7304
Indonesia,2011Q04,233.72762
Iran (Islamic Republic of),2011Q04,110.09277
Iraq,2011Q04,26.06606
Ireland,2011Q04,46.20574
Israel,2011Q04,88.48508
Italy,2011Q04,294.3548
Jamaica,2011Q04,91.92671
Japan,2011Q04,447.72351
Jersey,2011Q04,7.06555
Jordan,2011Q04,67.24638
Kenya,2011Q04,66.01112
Kiribati,2011Q04,11.7238
Kuwait,2011Q04,39.14476
Latvia,2011Q04,32.00953
Lebanon,2011Q04,90.92583
Liberia,2011Q04,13.12248
Libya,2011Q04,25.07938
Lithuania,2011Q04,40.49642
Madagascar,2011Q04,31.75991
Malaysia,2011Q04,503.47912
Maldives,2011Q04,24.1485
Malta,2011Q04,114.40292
Marshall Islands,2011Q04,11.7238
Martinique,2011Q04,31.44692
Mauritania,2011Q04,26.45917
Mauritius,2011Q04,50.69307
Mayotte,2011Q04,25.93219
Mexico,2011Q04,164.09342
Micronesia (Federated States of),2011Q04,5.33005
Montenegro,2011Q04,10.22152
Morocco,2011Q04,167.37302
Mozambique,2011Q04,52.3865
Myanmar,2011Q04,29.53382
Namibia,2011Q04,45.53846
Nauru,2011Q04,4.2240400000000005
Netherlands (Kingdom of the),2011Q04,423.22061
Netherlands Antilles,2011Q04,
New Caledonia,2011Q04,45.69696
New Zealand,2011Q04,84.89978
Nicaragua,2011Q04,16.83814
Nigeria,2011Q04,91.73499
Niue,2011Q04,4.27479
Norfolk Island,2011Q04,2.6154
Northern Mariana Islands,2011Q04,13.64223
Norway,2011Q04,65.62541
Oman,2011Q04,120.5729
Pakistan,2011Q04,116.4422
Palau,2011Q04,8.59371
Panama,2011Q04,183.88044
Papua New Guinea,2011Q04,32.88677
Paraguay,2011Q04,4.98036
Peru,2011Q04,107.42842
Philippines,2011Q04,132.53881
Poland,2011Q04,87.25487
Portugal,2011Q04,153.59913
Puerto Rico,2011Q04,49.83603
Qatar,2011Q04,37.25173
Republic of Korea,2011Q04,519.92536
Reunion,2011Q04,44.46831
Romania,2011Q04,56.31361
Russian Federation,2011Q04,178.71868
Saint Kitts and Nevis,2011Q04,17.42868
Saint Lucia,2011Q04,24.44642
Saint Vincent and the Grenadines,2011Q04,24.24161
Samoa,2011Q04,22.02202
Sao Tome and Principe,2011Q04,17.75832
Saudi Arabia,2011Q04,219.20869
Senegal,2011Q04,57.3369
Serbia and Montenegro,2011Q04,
Seychelles,2011Q04,26.11192
Sierra Leone,2011Q04,14.544
Singapore,2011Q04,583.27132
Sint Maarten (Dutch part),2011Q04,37.11121
Slovenia,2011Q04,59.51524
Solomon Islands,2011Q04,29.64979
Somalia,2011Q04,16.10887
South Africa,2011Q04,144.51994
Spain,2011Q04,382.74473
Sri Lanka,2011Q04,175.35
Sudan,2011Q04,
Sudan (...2011),2011Q04,31.44027
Suriname,2011Q04,31.59616
Sweden,2011Q04,121.97259
Syrian Arab Republic,2011Q04,56.16526
Thailand,2011Q04,201.51412
Timor-Leste,2011Q04,7.78558
Togo,2011Q04,51.71874
Tonga,2011Q04,19.62336
Trinidad and Tobago,2011Q04,82.89816
Tunisia,2011Q04,54.67804
Turkiye,2011Q04,187.39262
Ukraine,2011Q04,72.78312
United Arab Emirates,2011Q04,293.37229
United Kingdom,2011Q04,410.32194
United Republic of Tanzania,2011Q04,61.53377
United States,2011Q04,467.48844
United States Virgin Islands,2011Q04,20.56974
Uruguay,2011Q04,92.02218
Vanuatu,2011Q04,24.28062
Venezuela (Bolivarian Rep. of),2011Q04,88.53852
Viet Nam,2011Q04,239.34596
Yemen,2011Q04,35.33339
Albania,2012Q01,12.31015
Algeria,2012Q01,53.37098
American Samoa,2012Q01,19.54005
Angola,2012Q01,67.3599
Anguilla,2012Q01,10.3151
Antigua and Barbuda,2012Q01,22.99
Argentina,2012Q01,103.86861
Aruba,2012Q01,32.06994
Australia,2012Q01,147.94494
Bahamas,2012Q01,66.57105
Bahrain,2012Q01,49.83836
Bangladesh,2012Q01,43.49079
Barbados,2012Q01,32.50789
Belgium,2012Q01,410.4918
Belize,2012Q01,23.41219
Benin,2012Q01,55.08508
Bermuda,2012Q01,7.78925
Brazil,2012Q01,144.82947
British Virgin Islands,2012Q01,11.72357
Brunei Darussalam,2012Q01,25.17789
