economy,period,lsci_value
Angola,2006Q02,63.25063
Anguilla,2006Q02,6.89738
Antigua and Barbuda,2006Q02,24.65153
Argentina,2006Q02,114.39198
Aruba,2006Q02,30.64206
Australia,2006Q02,141.64793
Bahamas,2006Q02,53.47718
Bahrain,2006Q02,33.71766
Bangladesh,2006Q02,44.42613
Barbados,2006Q02,36.60703
Belgium,2006Q02,422.96782
Belize,2006Q02,14.727170000000001
Benin,2006Q02,39.97549
Bermuda,2006Q02,7.79287
"Bonaire, Sint Eustatius and Saba",2006Q02,
Brazil,2006Q02,164.8024
British Virgin Islands,2006Q02,13.69095
Brunei Darussalam,2006Q02,21.21285
Bulgaria,2006Q02,36.47124
Cabo Verde,2006Q02,15.54513
Cambodia,2006Q02,17.10097
Cameroon,2006Q02,66.46748
Canada,2006Q02,158.75587
Cayman Islands,2006Q02,9.32752
Chile,2006Q02,82.9421
China,2006Q02,736.63867
"China, Hong Kong SAR",2006Q02,558.63365
"China, Taiwan Province of",2006Q02,359.37917
Cocos (Keeling) Islands,2006Q02,3.4796
Colombia,2006Q02,138.20547
Comoros,2006Q02,12.03538
Congo,2006Q02,52.526650000000004
Cook Islands,2006Q02,3.26918
Costa Rica,2006Q02,83.26934
Cote d'Ivoire,2006Q02,78.85658
Croatia,2006Q02,33.70627
Cuba,2006Q02,32.35024
Curacao,2006Q02,
Cyprus,2006Q02,56.05383
Dem. People's Rep. of Korea,2006Q02,2.98765
Dem. Rep. of the Congo,2006Q02,21.56402
Denmark,2006Q02,71.99891
Djibouti,2006Q02,50.47184
Dominica,2006Q02,22.39212
Dominican Republic,2006Q02,106.02292
Ecuador,2006Q02,68.69455
Egypt,2006Q02,226.91588
El Salvador,2006Q02,27.03703
Equatorial Guinea,2006Q02,24.64196
Eritrea,2006Q02,10.68293
Estonia,2006Q02,30.38591
Faroe Islands,2006Q02,11.58728
Fiji,2006Q02,41.55977
Finland,2006Q02,84.7415
France,2006Q02,296.3967
French Guiana,2006Q02,21.66854
French Polynesia,2006Q02,39.4516
Gabon,2006Q02,36.64492
Gambia,2006Q02,14.39868
Georgia,2006Q02,20.07018
Germany,2006Q02,480.05407
Ghana,2006Q02,74.20322
Gibraltar,2006Q02,7.38216
Greece,2006Q02,134.28979
Greenland,2006Q02,4.48596
Grenada,2006Q02,22.66404
Guadeloupe,2006Q02,38.1448
Guam,2006Q02,21.63258
Guatemala,2006Q02,94.99531
Guernsey,2006Q02,4.75538
Guinea,2006Q02,38.38778
Guinea-Bissau,2006Q02,15.04613
Guyana,2006Q02,33.37324
Haiti,2006Q02,20.75395
Honduras,2006Q02,60.87369
Iceland,2006Q02,18.65427
India,2006Q02,216.67268
Indonesia,2006Q02,224.69831
Iran (Islamic Republic of),2006Q02,96.17311
Iraq,2006Q02,8.42721
Ireland,2006Q02,72.0954
Israel,2006Q02,102.14856
Italy,2006Q02,328.42832
Jamaica,2006Q02,122.31742
Japan,2006Q02,524.53656
Jersey,2006Q02,4.75538
Jordan,2006Q02,68.40077
Kenya,2006Q02,58.09467
Kuwait,2006Q02,48.9953
Latvia,2006Q02,36.36634
Lebanon,2006Q02,68.00738
Liberia,2006Q02,13.73641
Libya,2006Q02,37.49522
Lithuania,2006Q02,40.27483
Madagascar,2006Q02,37.082
Malaysia,2006Q02,387.76684
Maldives,2006Q02,14.36977
Malta,2006Q02,101.69108
Marshall Islands,2006Q02,13.48903
Martinique,2006Q02,39.35448
Mauritania,2006Q02,25.24138
Mauritius,2006Q02,55.67348
Mayotte,2006Q02,21.36952
Mexico,2006Q02,142.37527
Micronesia (Federated States of),2006Q02,5.88491
Montenegro,2006Q02,
Morocco,2006Q02,65.55018
Mozambique,2006Q02,32.45484
Myanmar,2006Q02,18.38007
Namibia,2006Q02,32.71526
Netherlands (Kingdom of the),2006Q02,443.04967
Netherlands Antilles,2006Q02,57.57414
New Caledonia,2006Q02,42.36866
New Zealand,2006Q02,91.75273
Nicaragua,2006Q02,22.9816
Nigeria,2006Q02,77.57636
Norfolk Island,2006Q02,2.6154
Northern Mariana Islands,2006Q02,9.87232
Norway,2006Q02,44.82474
Oman,2006Q02,92.31089
Pakistan,2006Q02,121.62536
Palau,2006Q02,9.87232
Panama,2006Q02,120.82447
Papua New Guinea,2006Q02,34.72932
Peru,2006Q02,83.28535
Philippines,2006Q02,115.41893
Poland,2006Q02,53.21165
Portugal,2006Q02,129.80724
Puerto Rico,2006Q02,73.88316
Qatar,2006Q02,39.08346
Republic of Korea,2006Q02,431.47618
Reunion,2006Q02,45.13326
Romania,2006Q02,66.5517
Russian Federation,2006Q02,131.11672
Saint Kitts and Nevis,2006Q02,12.20994
Saint Lucia,2006Q02,22.67148
Saint Vincent and the Grenadines,2006Q02,24.93049
Samoa,2006Q02,34.38515
Sao Tome and Principe,2006Q02,12.43437
Saudi Arabia,2006Q02,185.14339
Senegal,2006Q02,63.70962
Serbia and Montenegro,2006Q02,4.59942
Seychelles,2006Q02,23.33624
Sierra Leone,2006Q02,13.73641
Singapore,2006Q02,528.97143
Sint Maarten (Dutch part),2006Q02,
Slovenia,2006Q02,46.63774
Solomon Islands,2006Q02,25.721
Somalia,2006Q02,13.80222
South Africa,2006Q02,128.45545
Spain,2006Q02,390.86549
Sri Lanka,2006Q02,170.99368
Sudan,2006Q02,
Sudan (...2011),2006Q02,27.03017
Suriname,2006Q02,35.5985
Sweden,2006Q02,112.7365
Syrian Arab Republic,2006Q02,51.03333
Thailand,2006Q02,195.71221
Timor-Leste,2006Q02,6.85806
Togo,2006Q02,51.3923
Tonga,2006Q02,25.06515
Trinidad and Tobago,2006Q02,80.54844
Tunisia,2006Q02,46.26735
Turkiye,2006Q02,162.11942
Turks and Caicos Islands,2006Q02,6.2486
Ukraine,2006Q02,52.60828
United Arab Emirates,2006Q02,246.41677
United Kingdom,2006Q02,498.16834
United Republic of Tanzania,2006Q02,54.62517
United States,2006Q02,518.28828
United States Virgin Islands,2006Q02,22.50514
Uruguay,2006Q02,75.33992
Vanuatu,2006Q02,25.28394
Venezuela (Bolivarian Rep. of),2006Q02,113.32354
Viet Nam,2006Q02,137.67994
Wallis and Futuna Islands,2006Q02,9.46819
Yemen,2006Q02,52.82173
Algeria,2006Q03,61.83488
American Samoa,2006Q03,41.08027
Angola,2006Q03,65.20303
Antigua and Barbuda,2006Q03,24.66254
Argentina,2006Q03,111.68075
Aruba,2006Q03,23.22129
Australia,2006Q03,142.00122
Bahamas,2006Q03,53.32387
Bahrain,2006Q03,34.36579
Bangladesh,2006Q03,46.10423
Barbados,2006Q03,36.61803
Belgium,2006Q03,431.4596
Belize,2006Q03,12.46633
Benin,2006Q03,40.82546
Bermuda,2006Q03,7.79287
"Bonaire, Sint Eustatius and Saba",2006Q03,
Brazil,2006Q03,160.33195
British Virgin Islands,2006Q03,11.94465
Brunei Darussalam,2006Q03,20.68015
Bulgaria,2006Q03,36.45518
Cabo Verde,2006Q03,19.1367
Cambodia,2006Q03,19.99284
Cameroon,2006Q03,65.95591
Canada,2006Q03,151.37398
Cayman Islands,2006Q03,10.38536
Chile,2006Q03,81.24639
China,2006Q03,746.90848
"China, Hong Kong SAR",2006Q03,557.86281
